 16 PERENNIAL CROPS : ROOT ZONE AND WATER USE COEFFICIENT DATA
  CROP  DEPTH(IN) .............  KC  / AWD  ...........................
SMALL VEGETS  8 12 1.00 0.85 0.24 0.33 0.29 0.14 0.37 0.37 0.37 0.40  70  90  80
SORGHUM      12 24 1.00 0.50 0.17 0.25 0.33 0.25 0.55 0.55 0.55 0.80  70  90  80
SOYBEAN      12 18 1.05 0.45 0.14 0.25 0.43 0.18 0.50 0.50 0.50 0.67  70  90  80
SPINACH       8 12 0.95 0.90 0.33 0.33 0.25 0.09 0.20 0.20 0.20 0.20  70  90  80
SQUASH        8 12 0.90 0.70 0.25 0.35 0.25 0.15 0.33 0.33 0.33 0.33  70  90  80
STRAWBERRY    8 10 1.00 0.90 0.25 0.35 0.25 0.15 0.33 0.33 0.33 0.33  70  90  80
SUNFLOWERS   12 18 1.05 0.40 0.16 0.28 0.36 0.20 0.45 0.45 0.45 0.67  70  90  80
SWEET POTATO 12 18 1.05 0.70 0.23 0.29 0.29 0.19 0.65 0.65 0.65 0.65  70  90  80
TOBACCO      12 18 1.05 0.60 0.22 0.30 0.30 0.18 0.35 0.35 0.35 0.65  70  90  80
TOMATO        9 12 1.05 0.75 0.22 0.30 0.30 0.18 0.40 0.40 0.40 0.65  70  90  80
WHEAT        12 18 1.05 0.25 0.15 0.19 0.44 0.22 0.55 0.55 0.55 0.90  70  90  80
